company,folder_name,total_articles,incident_count,raw_incident_risk_score,environmental_articles,environmental_risk,social_articles,social_risk,governance_articles,governance_risk,final_weighted_esg_score,article_age_days_avg,article_age_days_environmental_avg,article_age_days_social_avg,article_age_days_governance_avg,time_weight_avg,time_weight_environmental_avg,time_weight_social_avg,time_weight_governance_avg,severity_avg,severity_environmental_avg,severity_social_avg,severity_governance_avg,environmental_weight,social_weight,governance_weight,environmental_raw_score,social_raw_score,governance_raw_score,raw_score,environmental_weighted_score,social_weighted_score,governance_weighted_score,final_walk_esg_risk,data_coverage_flag,final_walk_esg_score
TATA ELXSI LTD,TATA_ELXSI_LTD,10,4,3.8304,7,3.136,2,0.0,1,0.6945,1.5604,294.4,213.0,600.5,252.0,0.5033,0.5711,0.2671,0.5014,1.35,1.4286,1.0,1.5,0.44,0.31,0.26,3.136,0.0,0.6945,3.8304,1.3798,0.0,0.1806,1.5604,incidents_found,1.5604
TATA INVESTMENT CORP LTD,TATA_INVESTMENT_CORP_LTD,1,1,0.5399,0,0.0,0,0.0,1,0.5399,0.1404,373.0,0.0,0.0,373.0,0.3599,0.0,0.0,0.3599,1.5,0.0,0.0,1.5,0.44,0.31,0.26,0.0,0.0,0.5399,0.5399,0.0,0.0,0.1404,0.1404,incidents_found,0.1404
TATA MOTORS PASSENGER VEHICL,TATA_MOTORS_PASSENGER_VEHICL,17,6,4.7174,7,1.0221,3,0.0,7,3.6953,1.4105,510.76,223.14,1158.67,520.71,0.3898,0.5572,0.0442,0.3706,1.4412,1.0714,1.0,2.0,0.44,0.31,0.26,1.0221,0.0,3.6953,4.7174,0.4497,0.0,0.9608,1.4105,incidents_found,1.4105
TATA POWER CO LTD,TATA_POWER_CO_LTD,14,7,8.1411,7,1.0768,5,4.3977,2,2.6666,2.5304,223.14,114.14,447.8,43.0,0.6347,0.7546,0.3652,0.8889,1.25,1.0714,1.4,1.5,0.44,0.31,0.26,1.0768,4.3977,2.6666,8.1411,0.4738,1.3633,0.6933,2.5304,incidents_found,2.5304
TATA STEEL LTD,TATA_STEEL_LTD,20,15,19.9155,7,2.3705,7,8.2655,6,9.2795,6.018,231.45,201.57,339.29,140.5,0.6248,0.6069,0.5792,0.6988,1.725,1.4286,1.5714,2.25,0.44,0.31,0.26,2.3705,8.2655,9.2795,19.9155,1.043,2.5623,2.4127,6.018,incidents_found,6.018
TATA TECHNOLOGIES CO,TATA_TECHNOLOGIES_CO,1,0,0.0,0,0.0,1,0.0,0,0.0,0.0,69.0,0.0,69.0,0.0,0.8278,0.0,0.8278,0.0,1.0,0.0,1.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
TATA TELESERVICES MAHARASHTR,TATA_TELESERVICES_MAHARASHTR,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_reported_incidents,0.0
TBO TEK LTD,TBO_TEK_LTD,4,2,3.2911,0,0.0,0,0.0,4,3.2911,0.8557,405.75,0.0,0.0,405.75,0.6835,0.0,0.0,0.6835,1.25,0.0,0.0,1.25,0.44,0.31,0.26,0.0,0.0,3.2911,3.2911,0.0,0.0,0.8557,0.8557,incidents_found,0.8557
TECH MAHINDRA LTD,TECH_MAHINDRA_LTD,13,8,4.9479,7,2.8313,2,0.2805,4,1.836,1.8101,525.15,544.29,526.5,491.0,0.3769,0.3945,0.4582,0.3056,1.5,1.2857,1.5,1.875,0.44,0.31,0.26,2.8313,0.2805,1.836,4.9479,1.2458,0.087,0.4774,1.8101,incidents_found,1.8101
TECHNO ELECTRIC  ENGINEERIN,TECHNO_ELECTRIC__ENGINEERIN,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_reported_incidents,0.0
TEJAS NETWORKS LTD,TEJAS_NETWORKS_LTD,2,0,0.0,0,0.0,2,0.0,0,0.0,0.0,124.0,0.0,124.0,0.0,0.7126,0.0,0.7126,0.0,1.0,0.0,1.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
THERMAX LTD,THERMAX_LTD,9,1,0.5533,7,0.0,1,0.0,1,0.5533,0.1439,266.78,190.86,701.0,364.0,0.5184,0.5929,0.1465,0.3689,1.0556,1.0,1.0,1.5,0.44,0.31,0.26,0.0,0.0,0.5533,0.5533,0.0,0.0,0.1439,0.1439,incidents_found,0.1439
